,Window Size,Predictions,GSL overlap count,GSL overlap prop
0,29,410,40,0.0975609756097561
1,30,473,44,0.09302325581395349
2,31,293,32,0.10921501706484642
3,32,346,37,0.1069364161849711
4,33,395,40,0.10126582278481013
5,34,286,37,0.12937062937062938
6,35,190,25,0.13157894736842105
7,36,212,28,0.1320754716981132
8,37,248,31,0.125
9,38,279,33,0.11827956989247312
10,39,312,37,0.11858974358974358
11,40,147,21,0.14285714285714285
12,41,164,23,0.1402439024390244
13,42,189,27,0.14285714285714285
14,43,213,29,0.13615023474178403
15,44,134,14,0.1044776119402985
16,45,99,14,0.1414141414141414
17,46,117,20,0.17094017094017094
18,47,133,23,0.17293233082706766
19,48,85,15,0.17647058823529413
20,49,96,14,0.14583333333333334
