Composition,Predictions,GSL Overlaps,GSL Overlap Prop
['L'],194,26,0.13402061855670103
['M'],239,20,0.08368200836820083
['P'],401,29,0.07231920199501247
['F'],589,41,0.06960950764006792
['S'],692,42,0.06069364161849711
['Q'],856,45,0.052570093457943924
['I'],856,45,0.052570093457943924
['K'],856,45,0.052570093457943924
['R'],856,45,0.052570093457943924
['N'],856,45,0.052570093457943924
['Y'],856,45,0.052570093457943924
['W'],856,45,0.052570093457943924
['C'],856,45,0.052570093457943924
['E'],849,44,0.05182567726737338
['H'],249,12,0.04819277108433735
['V'],620,27,0.043548387096774194
['T'],562,21,0.037366548042704624
['A'],218,8,0.03669724770642202
['D'],31,1,0.03225806451612903
['G'],151,4,0.026490066225165563
