Composition,Predictions,GSL Overlaps,GSL Overlap Prop
"['L', 'M']",101,17,0.16831683168316833
"['L', 'F']",204,30,0.14705882352941177
"['L', 'W']",236,30,0.1271186440677966
"['L', 'G']",56,7,0.125
"['L', 'Y']",268,33,0.12313432835820895
"['L', 'H']",102,12,0.11764705882352941
"['M', 'F']",314,34,0.10828025477707007
"['L', 'P']",171,18,0.10526315789473684
"['L', 'T']",200,21,0.105
"['L', 'C']",279,29,0.1039426523297491
"['I', 'L']",376,37,0.09840425531914894
"['A', 'L']",92,9,0.09782608695652174
"['L', 'V']",233,22,0.0944206008583691
"['L', 'N']",369,34,0.0921409214092141
"['F', 'H']",319,29,0.09090909090909091
"['L', 'R']",321,29,0.09034267912772585
"['A', 'F']",234,21,0.08974358974358974
"['Q', 'D']",103,9,0.08737864077669903
"['F', 'P']",415,36,0.08674698795180723
"['L', 'K']",371,31,0.08355795148247978
